14:09:31  Output dir : /home/amirabbas-kazeminia/Projects/pruning/outputs/nullseye_resnet/f877d4fe/2e26e87f/62acb063
14:09:31  Log dir    : /home/amirabbas-kazeminia/Projects/pruning/logs/nullseye_resnet/f877d4fe/2e26e87f/62acb063
14:09:31  Model: ResNet(
  (blocks): ModuleList(
    (0): ResidualBlock(
      (branch): Sequential(
        (0): Linear(in_features=2, out_features=128, bias=True)
        (1): ReLU()
        (2): Linear(in_features=128, out_features=128, bias=True)
      )
      (shortcut): Linear(in_features=2, out_features=128, bias=False)
      (relu): ReLU()
    )
    (1-2): 2 x ResidualBlock(
      (branch): Sequential(
        (0): Linear(in_features=128, out_features=128, bias=True)
        (1): ReLU()
        (2): Linear(in_features=128, out_features=128, bias=True)
      )
      (shortcut): Identity()
      (relu): ReLU()
    )
  )
  (head): Linear(in_features=128, out_features=1, bias=True)
)
14:09:31  Fitting bullseye(x) with 83329 parameters
14:09:31  === Training ===
14:09:42  Epoch 4600 | train 0.000004 | val 2.069088
14:09:42  Epoch 4650 | train 0.000003 | val 2.068738
14:09:42  Epoch 4700 | train 0.000002 | val 2.068475
14:09:43  Epoch 4750 | train 0.000002 | val 2.068195
14:09:43  Epoch 4800 | train 0.000010 | val 2.062966
14:09:43  Epoch 4850 | train 0.016530 | val 1.952142
14:09:43  Epoch 4900 | train 0.006280 | val 1.975180
14:09:43  Epoch 4950 | train 0.001680 | val 2.057914
14:09:43  Epoch 5000 | train 0.000016 | val 2.053994
14:09:43  === Pruning ===
14:09:43    Layer 0: silent=0  redundant=4  | removed=4  remaining=124
14:09:43    Layer 1: silent=25  redundant=0  | removed=25  remaining=103
14:09:43    Layer 2: silent=34  redundant=0  | removed=34  remaining=94
14:09:43    Total removed: 63
14:09:43  === Efficiency: original vs pruned ===
14:09:43    Parameters :   83,329  →    67,642   (18.8% reduction)
14:09:43    Model size :   325.50 KB  →    264.23 KB
14:09:43    FLOPs      :  165,120  →   133,872   (18.9% reduction)
14:09:43    Infer time :    50.08 µs  →     68.20 µs   (-36.2% faster)
14:09:43  === Fine-tuning ===
14:09:43  Epoch   50 | train 0.000332 | val 2.111630
14:09:43  Epoch  100 | train 0.000069 | val 2.132994
14:09:44  Epoch  150 | train 0.000037 | val 2.141455
14:09:44  Epoch  200 | train 0.000018 | val 2.148942
14:09:44  Epoch  250 | train 0.000010 | val 2.153449
14:09:44  Epoch  300 | train 0.000007 | val 2.155959
14:09:44  Epoch  350 | train 0.000006 | val 2.157368
14:09:44  Epoch  400 | train 0.000005 | val 2.158335
14:09:44  Epoch  450 | train 0.000004 | val 2.159038
14:09:44  Epoch  500 | train 0.000004 | val 2.159550
14:09:44  Epoch  550 | train 0.000004 | val 2.159872
14:09:44  Epoch  600 | train 0.000003 | val 2.160051
14:09:44  Epoch  650 | train 0.000003 | val 2.160103
14:09:44  Epoch  700 | train 0.000003 | val 2.160086
14:09:45  Epoch  750 | train 0.000003 | val 2.160032
14:09:45  Epoch  800 | train 0.000002 | val 2.159984
14:09:45  Epoch  850 | train 0.000002 | val 2.159969
14:09:45  Epoch  900 | train 0.000002 | val 2.159924
14:09:45  Epoch  950 | train 0.000002 | val 2.158349
14:09:45  Epoch 1000 | train 0.000001 | val 2.158783
14:09:45  Epoch 1050 | train 0.000001 | val 2.158920
14:09:45  Epoch 1100 | train 0.000007 | val 2.155560
14:09:45  Epoch 1150 | train 0.000001 | val 2.157689
14:09:45  Epoch 1200 | train 0.000001 | val 2.157576
14:09:45  Epoch 1250 | train 0.000001 | val 2.157546
14:09:45  Epoch 1300 | train 0.000041 | val 2.158095
14:09:45  Epoch 1350 | train 0.000001 | val 2.157044
14:09:46  Epoch 1400 | train 0.000001 | val 2.156931
14:09:46  Epoch 1450 | train 0.000000 | val 2.156869
14:09:46  Epoch 1500 | train 0.000000 | val 2.156842
14:09:46  Epoch 1550 | train 0.000000 | val 2.156826
14:09:46  Epoch 1600 | train 0.000245 | val 2.156723
