model,arm,cell,seeds,plan_s,solve_s,overhead_s,wall_s,reused
wikitext_opt350m,random,random_ridge,3,0.0,2220.2341197204464,115.42569956354191,2335.6598192839883,False
wikitext_opt350m,magnitude,magnitude_mass_ridge,3,0.0,2318.823369351759,128.04898690090795,2446.872356252667,False
wikitext_opt350m,MASH full-row ridge,mash_full_medoid_empirical_delta_f,3,0.0,2307.6798594220695,115.98467961885035,2423.66453904092,True
wikitext_opt350m,MASH drop,mash_drop_none_delta_f,3,0.0,56.56870606704615,113.02959154685959,169.59829761390574,True
wikitext_opt350m,OSSCAR,osscar,3,0.0,5715.398640499295,131.79486504437773,5847.1935055436725,False
wikitext_opt350m,MASH delete,mash_medoid_none_delta_f,3,2403.963285205653,117.34349985420704,90.46779523479427,2611.7745802946542,False
wikitext_opt350m,MASH merge+sum,mash_merge_sum_delta_f,3,1380.4134866072952,125.21304240442487,81.90700518627045,1587.5335341979905,False
wikitext_opt350m,MASH medoid+sum,mash_medoid_sum_delta_f,3,2890.6813417832213,123.62557823125553,90.80776323347072,3105.1146832479476,False
wikitext_opt350m,MASH merge+ridge,mash_ridge_merge_empirical_delta_f,3,595.4243426560424,2887.8736586332475,152.97362118260935,3636.2716224718993,True
wikitext_opt350m,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,3,1123.1551911926363,2667.6588754511904,146.66157120955177,3937.4756378533784,True
wikitext_opt350m,MASH Gaussian merge+ridge,mash_ridge_gaussian_merge_empirical_delta_f,3,4317.591786353306,1480.8325202682363,84.41798231742996,5882.842288938972,False
wikitext_opt350m,MASH cylinder merge+sum,mash_merge_sum_cylinder,3,0.0,133.0724034694334,91.78557329679217,224.85797676622556,True
imagenet_vit_b16,random,random_ridge,3,0.0,99.68363122494581,315.2725242952971,414.95615552024293,False
imagenet_vit_b16,magnitude,magnitude_mass_ridge,3,0.0,97.63083221771133,316.7275547789565,414.35838699666783,False
imagenet_vit_b16,MASH full-row ridge,mash_full_medoid_empirical_delta_f,3,0.0,139.02893398399465,314.30104889332625,453.3299828773209,True
imagenet_vit_b16,MASH drop,mash_drop_none_delta_f,3,0.0,9.262159765542796,326.2738661400508,335.5360259055936,True
imagenet_vit_b16,OSSCAR,osscar,3,0.0,5125.234939483926,328.95524236909114,5454.190181853017,False
imagenet_vit_b16,MASH delete,mash_medoid_none_delta_f,3,262.5884348939483,22.547265993043197,315.0928381389628,600.2285390259543,True
imagenet_vit_b16,MASH merge+sum,mash_merge_sum_delta_f,3,162.35583820869215,26.97899910605824,326.7408739233699,516.0757112381203,True
imagenet_vit_b16,MASH medoid+sum,mash_medoid_sum_delta_f,3,249.2983464349527,21.469936684162064,322.25183115255396,593.0201142716687,True
imagenet_vit_b16,MASH merge+ridge,mash_ridge_merge_empirical_delta_f,3,0.0,159.67391706824614,340.44257498711033,500.1164920553565,True
imagenet_vit_b16,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,3,0.0,144.39809520558143,322.68890481178335,467.0870000173648,True
imagenet_vit_b16,MASH Gaussian merge+ridge,mash_ridge_gaussian_merge_empirical_delta_f,3,243.28079967061058,150.28746752922115,333.16673710088554,726.7350043007173,True
imagenet_vit_b16,MASH cylinder merge+sum,mash_merge_sum_cylinder,3,137.5684969344487,27.898555578431115,338.4344769374002,503.90152945027995,False
imagenet_resnet50,random,random_ridge,3,0.0,85.42895129858516,130.97671974776313,216.4056710463483,False
imagenet_resnet50,magnitude,magnitude_mass_ridge,3,0.0,98.52039339804712,137.95896474054706,236.47935813859416,False
imagenet_resnet50,MASH full-row ridge,mash_full_medoid_empirical_delta_f,3,0.0,179.53118002872603,129.08187781227755,308.6130578410036,True
imagenet_resnet50,MASH drop,mash_drop_none_delta_f,3,0.0,11.030740526892865,121.71516704210079,132.74590756899366,True
imagenet_resnet50,OSSCAR,osscar,3,0.0,2907.135616776611,136.55965894041583,3043.695275717027,False
imagenet_resnet50,MASH delete,mash_medoid_none_delta_f,3,18.70986003995252,27.141049176376935,124.59470738462792,170.44561660095738,True
imagenet_resnet50,MASH medoid+sum,mash_medoid_sum_delta_f,3,19.511769842356443,26.94608522579074,129.04999454117691,175.5078496093241,True
imagenet_resnet50,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,3,0.0,125.77827603726958,135.42041032264632,261.1986863599159,True
wikitext_opt1.3b,random,random_ridge,3,0.0,3397.679904101106,702.9335944175259,4100.613498518632,False
wikitext_opt1.3b,magnitude,magnitude_mass_ridge,3,0.0,3583.9223644039594,689.2339482052876,4273.156312609247,False
wikitext_opt1.3b,MASH full-row ridge,mash_full_medoid_empirical_delta_f,3,0.0,4049.836869914783,501.86388862497824,4551.700758539761,True
wikitext_opt1.3b,MASH drop,mash_drop_none_delta_f,3,0.0,114.57451576933575,504.2131923600876,618.7877081294233,True
wikitext_opt1.3b,OSSCAR,osscar,3,0.0,4202.950295872521,639.5729318041513,4842.523227676672,False
wikitext_opt1.3b,MASH delete,mash_medoid_none_delta_f,3,21742.024582069367,352.6355921747927,716.0832012652754,22810.743375509435,False
wikitext_opt1.3b,MASH merge+sum,mash_merge_sum_delta_f,3,12450.307567148548,353.8589037206639,651.0673079211265,13455.233778790338,False
wikitext_opt1.3b,MASH medoid+sum,mash_medoid_sum_delta_f,3,21410.83295236427,332.0867694687695,723.4329589545596,22466.3526807876,False
wikitext_opt1.3b,MASH merge+ridge,mash_ridge_merge_empirical_delta_f,3,13131.151935146967,4535.834800548617,717.5218686761036,18384.508604371687,False
wikitext_opt1.3b,MASH medoid+ridge,mash_ridge_medoid_empirical_delta_f,3,22635.608213207994,4503.171141003804,717.8333568111993,27856.612711022997,False
wikitext_opt1.3b,MASH Gaussian merge+ridge,mash_ridge_gaussian_merge_empirical_delta_f,1,0.0,3962.1948960979935,524.8326952620409,4487.027591360034,True
wikitext_opt1.3b,MASH cylinder merge+sum,mash_merge_sum_cylinder,3,9325.721746923946,341.566128862245,655.4976830517408,10322.785558837932,False
wikitext_opt2.7b,random,random_ridge,1,0.0,4692.137883014046,534.2937514639925,5226.431634478038,False
wikitext_opt2.7b,magnitude,magnitude_mass_ridge,1,0.0,4736.09134998126,537.0313491348643,5273.122699116124,False
wikitext_opt2.7b,MASH full-row ridge,mash_full_medoid_empirical_delta_f,1,53915.21587165492,9962.054770937655,975.3908583645243,64852.661500957096,False
wikitext_opt2.7b,MASH drop,mash_drop_none_delta_f,1,52355.71217993996,233.39531989535317,983.5392326086294,53572.64673244394,False
wikitext_opt2.7b,OSSCAR,osscar,1,0.0,9605.077987149823,954.7598034420516,10559.837790591875,False
wikitext_opt2.7b,MASH delete,mash_medoid_none_delta_f,1,52908.94483569008,637.2552100419998,1006.5468533479143,54552.74689908,False
wikitext_opt2.7b,MASH merge+sum,mash_merge_sum_delta_f,1,33412.40179222799,627.524173481157,952.5735052698292,34992.499470978975,False
wikitext_opt2.7b,MASH medoid+sum,mash_medoid_sum_delta_f,1,55689.42002720293,586.2432345862035,962.3420488180127,57238.00531060714,False
wikitext_opt2.7b,MASH merge+ridge,mash_ridge_merge_empirical_delta_f,1,31319.786022256827,9596.64339423203,950.8840651852079,41867.313481674064,False
